merchant_name,canonical_category,region,contact_phone,contact_email,registration_date,region_pic_email,source_submission_id,duplicates_collapsed
Sejahtera Bahagia Trading,Fashion & Apparel,Southern,070457621,sejahterabah99@gmail.com,2026-05-06,devraj.pillai@example-ops.test,A001,2
Restoran Impian Trading,Health & Beauty,Sarawak,0829382932,restoranimpi30@outlook.com,2026-03-01,margaret.anyi@example-ops.test,A006,1
Gerai Anugerah Trading,Grocery & Convenience,Southern,073743582,geraianugera30@yahoo.com,2026-04-27,devraj.pillai@example-ops.test,A007,3
Pusat Jaya,Grocery & Convenience,Southern,070287033,pusatjaya73@gmail.com,2026-02-26,devraj.pillai@example-ops.test,A008,1
Sejahtera Fajar Holdings,Home & Living,Central,036394337,sejahterafaj25@yahoo.com,2026-01-15,aishah.rahman@example-ops.test,A009,1
Harmoni Jaya Enterprise,Fashion & Apparel,East Coast,098654304,harmonijayae15@outlook.com,2026-02-09,nurul.huda@example-ops.test,A016,1
Maju Jaya Trading,Electronics & Repair,Southern,074665465,majujayatrad81@gmail.com,2026-03-26,devraj.pillai@example-ops.test,A018,2
The Harapan Sdn Bhd,Food & Beverage,Central,033491690,theharapansd70@biz.test,2026-05-26,aishah.rahman@example-ops.test,A019,1
Sejahtera Bahagia Resources,Home & Living,Northern,041920802,sejahterabah35@yahoo.com,2026-01-19,weiming.tan@example-ops.test,A021,1
Kedai Anugerah Holdings,Electronics & Repair,Sarawak,0821725355,kedaianugera66@yahoo.com,2026-02-03,margaret.anyi@example-ops.test,A023,1
Sinar Harapan Trading,Health & Beauty,East Coast,094947384,sinarharapan59@yahoo.com,2026-03-09,nurul.huda@example-ops.test,A025,2
The Selera Sdn Bhd,Health & Beauty,Sabah,0884504641,theselerasdn66@gmail.com,2026-02-12,jeffrey.lojuki@example-ops.test,A028,2
Syarikat Mutiara Enterprise,Electronics & Repair,East Coast,092433024,syarikatmuti88@yahoo.com,2026-02-17,nurul.huda@example-ops.test,A029,1
Harmoni Harapan Holdings,Fashion & Apparel,Sabah,0889393238,harmoniharap19@yahoo.com,2026-02-05,jeffrey.lojuki@example-ops.test,A032,1
The Harapan & Sons,Professional Services,Northern,041309599,theharapanso39@biz.test,2026-04-21,weiming.tan@example-ops.test,A035,1
Gerai Emas & Sons,Home & Living,Southern,074781139,geraiemasson51@biz.test,2026-03-21,devraj.pillai@example-ops.test,A037,1
Bestari Bahagia Sdn Bhd,Grocery & Convenience,Sabah,0883257725,bestaribahag18@gmail.com,2026-02-01,jeffrey.lojuki@example-ops.test,A038,1
Pusat Selera Trading,Electronics & Repair,Southern,072831105,pusatselerat13@outlook.com,2026-05-11,devraj.pillai@example-ops.test,A040,1
Kedai Emas & Sons,Electronics & Repair,East Coast,092191421,kedaiemasson85@gmail.com,2026-01-10,nurul.huda@example-ops.test,A041,1
Bestari Impian Enterprise,Food & Beverage,Sabah,0889380153,bestariimpia65@outlook.com,2026-02-10,jeffrey.lojuki@example-ops.test,A042,1
Maju Mutiara,Health & Beauty,Northern,049579056,majumutiara70@gmail.com,2026-03-01,weiming.tan@example-ops.test,A043,1
Sinar Lestari Trading,Food & Beverage,Southern,079050865,sinarlestari67@gmail.com,2026-05-07,devraj.pillai@example-ops.test,A044,1
Gerai Kasih,Fashion & Apparel,East Coast,090109508,geraikasih55@gmail.com,2026-04-27,nurul.huda@example-ops.test,A045,2
Syarikat Mutiara Sdn Bhd,Health & Beauty,Sabah,0882557461,syarikatmuti42@outlook.com,2026-01-19,jeffrey.lojuki@example-ops.test,A048,1
Pusat Bahagia & Sons,Electronics & Repair,Southern,078677415,pusatbahagia55@gmail.com,2026-05-14,devraj.pillai@example-ops.test,A049,1
Gerai Cemerlang Enterprise,Food & Beverage,East Coast,091399311,geraicemerla81@gmail.com,2026-04-15,nurul.huda@example-ops.test,A051,1
Harmoni Impian Enterprise,Home & Living,Sabah,0888926088,harmoniimpia80@gmail.com,2026-04-06,jeffrey.lojuki@example-ops.test,A052,2
Harmoni Selera Enterprise,Health & Beauty,Sarawak,0824463960,harmoniseler40@yahoo.com,2026-04-26,margaret.anyi@example-ops.test,A053,1
Gerai Bahagia,Home & Living,Sabah,0885579783,geraibahagia6@gmail.com,2026-04-13,jeffrey.lojuki@example-ops.test,A054,2
Maju Cemerlang Trading,Food & Beverage,East Coast,095423001,majucemerlan1@outlook.com,2026-02-26,nurul.huda@example-ops.test,A055,1
Maju Lestari Sdn Bhd,Grocery & Convenience,Northern,046494486,majulestaris38@yahoo.com,2026-02-07,weiming.tan@example-ops.test,A056,1
Sinar Selera & Sons,Home & Living,Sabah,0881985722,sinarseleras95@gmail.com,2026-05-04,jeffrey.lojuki@example-ops.test,A057,1
Warung Selera Resources,Home & Living,Southern,075270060,warungselera96@outlook.com,2026-03-19,devraj.pillai@example-ops.test,A061,1
Kedai Selera Resources,Professional Services,Central,037306537,kedaiselerar87@outlook.com,2026-04-28,aishah.rahman@example-ops.test,A063,1
Warung Lestari & Sons,Health & Beauty,Sabah,0882907413,warunglestar71@biz.test,2026-04-14,jeffrey.lojuki@example-ops.test,A064,1
Kedai Kasih Holdings,Fashion & Apparel,Central,035007546,kedaikasihho12@gmail.com,2026-02-17,aishah.rahman@example-ops.test,A065,2
Sinar Damai Trading,Grocery & Convenience,Central,034018582,sinardamaitr31@biz.test,2026-02-12,aishah.rahman@example-ops.test,A067,1
Kedai Lestari,Electronics & Repair,Sarawak,0829536169,kedailestari13@yahoo.com,2026-05-25,margaret.anyi@example-ops.test,B004,1
Pusat Impian Holdings,Home & Living,Sabah,0881700345,pusatimpianh73@biz.test,2026-04-05,jeffrey.lojuki@example-ops.test,B005,2
Gerai Lestari Holdings,Professional Services,Southern,075305517,gerailestari68@gmail.com,2026-02-01,devraj.pillai@example-ops.test,B006,2
Syarikat Lestari Sdn Bhd,Health & Beauty,Southern,079039025,syarikatlest91@outlook.com,2026-02-05,devraj.pillai@example-ops.test,B009,1
Sinar Bahagia,Professional Services,Northern,040251488,sinarbahagia78@gmail.com,2026-03-04,weiming.tan@example-ops.test,B010,2
Kedai Anugerah Sdn Bhd,Health & Beauty,Southern,078450629,kedaianugera93@outlook.com,2026-02-27,devraj.pillai@example-ops.test,B011,1
Pusat Anugerah Resources,Grocery & Convenience,Central,032689712,pusatanugera47@biz.test,2026-04-13,aishah.rahman@example-ops.test,B012,1
Harmoni Gemilang Trading,Electronics & Repair,Sarawak,0828484667,harmonigemil26@biz.test,2026-03-18,margaret.anyi@example-ops.test,B013,1
Kedai Impian Sdn Bhd,Fashion & Apparel,Northern,049883114,kedaiimpians23@yahoo.com,2026-01-15,weiming.tan@example-ops.test,B014,1
Harmoni Bahagia Enterprise,Electronics & Repair,Northern,044312256,harmonibahag15@outlook.com,2026-03-25,weiming.tan@example-ops.test,B016,1
Sejahtera Anugerah Enterprise,Food & Beverage,Northern,040624441,sejahteraanu24@biz.test,2026-01-25,weiming.tan@example-ops.test,B021,1
Restoran Jaya & Sons,Professional Services,East Coast,097239025,restoranjaya85@yahoo.com,2026-05-15,nurul.huda@example-ops.test,B022,2
Sejahtera Gemilang Resources,Health & Beauty,East Coast,096535011,sejahteragem30@gmail.com,2026-01-14,nurul.huda@example-ops.test,B024,1
Pusat Gemilang Resources,Health & Beauty,East Coast,090484747,pusatgemilan3@gmail.com,2026-01-20,nurul.huda@example-ops.test,B026,1
Harmoni Fajar Holdings,Food & Beverage,Sarawak,0827033736,harmonifajar24@gmail.com,2026-02-21,margaret.anyi@example-ops.test,B028,1
Warung Kasih Resources,Electronics & Repair,Northern,047306742,warungkasihr21@outlook.com,2026-01-12,weiming.tan@example-ops.test,B032,2
Maju Damai Sdn Bhd,Fashion & Apparel,Northern,041711977,majudamaisdn89@outlook.com,2026-04-28,weiming.tan@example-ops.test,B033,1
Bestari Fajar Enterprise,Health & Beauty,Sabah,0889532296,bestarifajar99@yahoo.com,2026-02-09,jeffrey.lojuki@example-ops.test,B034,1
Gerai Bahagia & Sons,Grocery & Convenience,Central,032747089,geraibahagia90@biz.test,2026-02-02,aishah.rahman@example-ops.test,B035,1
Warung Anugerah,Health & Beauty,Sabah,0884363886,warunganuger83@outlook.com,2026-04-15,jeffrey.lojuki@example-ops.test,B036,2
Maju Bahagia,Professional Services,East Coast,090400441,majubahagia1@yahoo.com,2026-03-07,nurul.huda@example-ops.test,B038,1
Kedai Cemerlang Enterprise,Food & Beverage,East Coast,097885798,kedaicemerla86@gmail.com,2026-05-07,nurul.huda@example-ops.test,B039,1
